transaction_amount,transaction_hour,distance_from_home_km,distance_from_last_txn_km,ratio_to_median_purchase,repeat_retailer,used_chip,used_pin,online_order,num_transactions_today,merchant_category,fraud
32.93600589932539,21,17.733903864389614,22.869566524740428,0.9736642010416948,1,0,1,0,1,retail,0
119.51225323850176,17,24.136955516244647,2.237834798225341,0.7223097598969248,0,1,1,1,5,restaurant,0
78.2311314255219,20,3.638369849527921,2.6244510113530284,1.0685920416640318,0,1,0,1,5,grocery,0
2.899120232919359,8,4.294843772019802,0.12864463674294052,1.696605112024503,1,1,1,0,5,grocery,0
68.85279430116553,18,12.695977741974458,6.973099320704666,1.0030315177608542,1,1,0,0,1,retail,0
22.74440713556428,17,2.5339967190106454,2.6195797564946313,1.605412799991508,1,1,1,0,3,entertainment,0
12.726550345186878,17,16.07241906631974,10.542927634134037,0.8415985067948994,0,1,1,1,2,travel,0
82.35169598718407,7,37.24736451277984,12.203701414238017,0.8308738440570583,1,1,0,0,4,grocery,0
50.76073086091899,16,19.61533916568699,19.371183879334385,1.1873395398501605,1,1,0,0,5,grocery,0
6.787900046424965,8,33.938042822329294,12.66381048702748,0.5476438200408695,1,1,0,0,5,grocery,0
39.30350358222247,9,10.024512515038266,3.74522198213303,1.3371587954081623,0,1,1,0,5,entertainment,0
260.3966792685338,6,12.726072985544729,1.082449955406575,0.8735284456615582,1,1,1,0,1,travel,0
28.289728625415744,15,6.732762738833456,16.76888359463905,0.7652572221708293,1,1,1,1,1,grocery,0
34.76857717655007,7,23.596664914882744,0.19466552651557167,1.2234266415990729,1,0,1,0,3,restaurant,0
14.078601685465467,18,0.9907375951084041,0.1,0.9075914919204927,0,1,1,1,1,online,0
21.293526165482355,9,1.4318524867753974,4.605840064640847,1.2774159026469443,1,1,0,0,1,online,0
54.27930341338878,7,6.526816448579865,9.344505015586401,1.216457929338694,1,0,1,0,1,travel,0
88.44792934135224,5,16.812847685386203,66.77986312987892,1.2936308806985393,0,0,0,0,3,online,1
59.93595720844859,22,8.103813707554368,0.9273201111101669,0.7745141109194422,1,1,1,0,1,retail,0
41.172593534939864,15,0.7723624848576928,5.199006803763801,0.915712507552065,1,1,1,1,4,grocery,0
114.23974839063614,22,5.0,168.6501370080311,4.842188655224804,0,1,0,1,6,online,1
9.767354184225383,21,11.749874498962443,4.707744268905653,0.9221601883119371,1,1,0,0,5,retail,0
233.13174381229484,11,5.606331882774972,5.396638650863842,1.054650808316289,1,0,1,1,5,restaurant,0
302.18693816720685,4,73.66553216170728,274.4370870898636,4.911392045220765,0,0,0,0,5,travel,1
